"Informazioni cronologiche","Sesso","Età","Provincia di residenza","Titolo di studio","A quale canale della Roberto Abate S.p.A. appartiene il tuo supermercato di fiducia?","Con quale frequenza ti rechi a fare la spesa?","Avevi già sentito parlare di Responsabilità Sociale d’Impresa?","Che cos’è secondo te un’azienda socialmente responsabile?","Secondo te quali di queste dovrebbe essere la responsabilità primaria di un’impresa:","Secondo te le imprese che seguono le politiche di RSI lo fanno perché:","Sceglieresti comunque un supermercato dove fare la tua spesa sapendo che esso non sostiene alcuna causa sociale?","Sei a conoscenza di iniziative a sostegno di cause sociali intraprese dai supermercati della Roberto Abate S.p.A.?","Essere a conoscenza di tali iniziative rappresenta un incentivo nella scelta dei supermercati Roberto Abate S.p.A. rispetto ad altri concorrenti?","Secondo te la Roberto Abate S.p.A. comunica adeguatamente le sue attività a sostegno di cause sociali?","Saresti interessato a saperne di più sulla RSI dell’azienda?","Secondo te la Roberto Abate S.p.A. può essere definita un’impresa socialmente responsabile?","Se hai risposto Sì alla domanda precedente, indica una motivazione:","Se invece hai risposto No, indica una motivazione:","Quale azione dovrebbe intraprendere la Roberto Abate S.p.A. per migliorare le sue attività di responsabilità sociale?","Qual è secondo te lo strumento più utile per la comunicazione di pratiche di RSI, soprattutto per farle conoscere al consumatore?"
"2017/11/01 8:12:01 PM CET","Maschio","36-50","London ","Laurea triennale","ARD","Tutti i giorni","No","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, per niente","Sì, abbastanza","Non saprei","","","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Pubblicità"
"2017/11/01 8:14:00 PM CET","Femmina","Over 50","Catania","Diploma superiore","Famila","Una volta a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, abbastanza","Non saprei","","","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Pubblicità"
"2017/11/01 8:14:01 PM CET","Femmina","Over 50","Catania","Diploma superiore","Famila","Una volta a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, abbastanza","Non saprei","","","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Pubblicità"
"2017/11/01 8:15:04 PM CET","Femmina","Over 50","Catania","Diploma superiore","Famila","Una volta a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, abbastanza","Non saprei","","","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Pubblicità"
"2017/11/01 8:15:59 PM CET","Femmina","36-50","Catania","Diploma superiore","Famila","Tre volte a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Ci credono veramente","No, anche se ne avessi necessità","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Report su sito web"
"2017/11/01 8:16:27 PM CET","Femmina","36-50","Catania","Laurea magistrale","Famila","Tutti i giorni","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Ci credono veramente","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","Sì, abbastanza","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 8:17:38 PM CET","Femmina","36-50","Catania","Licenza media","ARD","Tre volte a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","No, anche se ne avessi necessità","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","Sì, abbastanza","Sì, molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Promuovere iniziative a tutela dell’ambiente","Codice etico"
"2017/11/01 8:19:22 PM CET","Femmina","Over 50","Catania","Diploma superiore","Iperfamila","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","No, anche se ne avessi necessità","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","No, non mi interessa molto","Non saprei","","Poca trasparenza circa le attività sostenibili intraprese","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 8:22:05 PM CET","Maschio","Over 50","Catania","Diploma superiore","A&O","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Ci credono veramente","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","L’azienda mette spesso in campo iniziative di sostegno ad associazioni no profit","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 8:39:18 PM CET","Femmina","Over 50","Catania","Diploma superiore","A&O","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, abbastanza","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Report su sito web"
"2017/11/01 8:44:08 PM CET","Femmina","36-50","Catania","Diploma superiore","Famila","Tre volte a settimana","No","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Controllo dei prodotti","Ci credono veramente","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 8:46:52 PM CET","Maschio","36-50","Catania","Diploma superiore","A&O","Tre volte a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Trattamento equo dei dipendenti","Solo per un ritorno di immagine, quindi per profitto","No, mai","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Organizzare un maggior numero di iniziative legate a cause sociali","Report su sito web"
"2017/11/01 8:51:15 PM CET","Femmina","36-50","Catania","Diploma superiore","Iperfamila","Una volta a settimana","No","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Sostegno ad associazioni no profit","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","No, per niente","Non saprei","","Poca informazione","Promuovere iniziative a tutela dell’ambiente","Pubblicità"
"2017/11/01 8:52:39 PM CET","Maschio","Over 50","Catania","Laurea magistrale","Famila","Tre volte a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","Sì, abbastanza","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Report su sito web"
"2017/11/01 9:04:47 PM CET","Femmina","Over 50","Catania","Diploma superiore","Iperfamila","Una volta a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Trattamento equo dei dipendenti","Ci credono veramente","No, mai","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","Sì, abbastanza","Sì, molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Organizzare un maggior numero di iniziative legate a cause sociali","Pubblicità"
"2017/11/01 9:20:39 PM CET","Femmina","25-35","Catania","Diploma superiore","Iperfamila","Tre volte a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","No, non mi interessa molto","Non saprei","","","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Pubblicità"
"2017/11/01 9:32:47 PM CET","Maschio","Over 50","Catania","Diploma superiore","ARD","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, decisamente","No, non mi interessa molto","Non saprei","","","Promuovere iniziative a tutela dell’ambiente","Pubblicità"
"2017/11/01 9:54:37 PM CET","Femmina","Over 50","Catania","Laurea magistrale","Famila","Tre volte a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Rispetto per l’ambiente","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","No, le attività che intraprende sono poche o del tutto mancanti","","Mancanza di iniziative sul tema della difesa dell’ambiente","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 10:18:26 PM CET","Femmina","18-24","Catania","Laurea triennale","A&O","Tre volte a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 10:20:34 PM CET","Femmina","Over 50","Catania","Licenza media","ARD","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Trattamento equo dei dipendenti","Solo per un ritorno di immagine, quindi per profitto","No, anche se ne avessi necessità","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","","Promuovere iniziative a tutela dell’ambiente","Pubblicità"
"2017/11/01 10:33:36 PM CET","Femmina","36-50","Catania","Diploma superiore","A&O","Tutti i giorni","Sì","Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","No, mai","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","Poca trasparenza circa le attività sostenibili intraprese","Organizzare un maggior numero di iniziative legate a cause sociali","Report su sito web"
"2017/11/01 10:34:25 PM CET","Femmina","36-50","Catania","Licenza media","A&O","Tre volte a settimana","No","Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","No, anche se ne avessi necessità","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","No, non mi interessa molto","No, le attività che intraprende sono poche o del tutto mancanti","Attenzione e cura del rapporto con il cliente","Scarsa attenzione e cura del rapporto con il cliente","Coinvolgere maggiormente il cliente nelle attività di beneficienza","Bilancio sociale"
"2017/11/01 10:40:12 PM CET","Femmina","Over 50","Catania","Diploma superiore","ARD","Una volta a settimana","Sì","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Rispetto per l’ambiente","Solo per un ritorno di immagine, quindi per profitto","No, mai","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","Sì, abbastanza","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Promuovere iniziative a tutela dell’ambiente","Pubblicità"
"2017/11/01 10:43:14 PM CET","Maschio","Over 50","Catania","Licenza media","ARD","Tutti i giorni","No","Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse","Trattamento equo dei dipendenti","Ci credono veramente","Sì, se non avessi alternative valide","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","Attenzione e cura del rapporto con il cliente","","Organizzare un maggior numero di iniziative legate a cause sociali","Pubblicità"
"2017/11/01 10:58:54 PM CET","Femmina","36-50","Catania","Diploma superiore","ARD","Tre volte a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/01 11:10:56 PM CET","Maschio","25-35","Catania","Diploma superiore","A&O","Una volta a settimana","Sì","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Trattamento equo dei dipendenti","Solo per un ritorno di immagine, quindi per profitto","Sì, sempre","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, non in modo sufficiente","No, non mi interessa molto","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","Attenzione e cura del rapporto con il cliente","","Organizzare un maggior numero di iniziative legate a cause sociali","Pubblicità"
"2017/11/01 11:30:58 PM CET","Femmina","Over 50","Catania","Laurea triennale","Famila","Tutti i giorni","Sì","Un’azienda che persegue i propri interessi rispettando le leggi e pagando le tasse","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","No, generalmente la mia scelta dipende da altri fattori (convenienza, qualità dei prodotti, ecc.)","No, per niente","No, non mi interessa molto","Non saprei","","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
"2017/11/02 7:11:49 AM CET","Femmina","36-50","Verbania","Licenza media","ARD","Una volta l'anno ","Sì","Un’azienda che fa donazioni e sostiene grandi cause sociali esterne all’azienda stessa","Rispetto per l’ambiente","Solo per un ritorno di immagine, quindi per profitto","No, anche se ne avessi necessità","Sì, ne vengo a conoscenza direttamente nel punto vendita o tramite passa-parola","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Sì, le attività che intraprende la rendono attiva nel campo della responsabilità sociale","I prodotti rispettano sempre gli standard di qualità e sostenibilità","","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Report su sito web"
"2017/11/02 7:26:18 AM CET","Maschio","Over 50","Catania","Laurea magistrale","Famila","Una volta a settimana","No","Un’azienda che non solo rispetta le leggi nelle sue attività, ma si impegna per migliorare società e ambiente","Controllo dei prodotti","Solo per un ritorno di immagine, quindi per profitto","Sì, se non avessi alternative valide","No, non ho mai saputo nulla riguardo attività di responsabilità sociale da parte dell’azienda","Sì, cerco sempre di abbinare le mie esigenze con queste iniziative","No, non in modo sufficiente","Sì, abbastanza","Non saprei","","Scarsa attenzione e cura del rapporto con il cliente","Migliorare e diffondere maggiormente la comunicazione delle iniziative intraprese","Pubblicità"
