ID;IMPORTO;SOGGETTO;BENEFICIARIO;TIPO
1047;670;115;835;contante
1048;535;879;32;contante
1049;16235;494;757;assegno
1050;32425;359;344;assegno
1051;225;645;;carta di credito
1052;245;184;;carta di credito
1053;35385;920;412;bonifico
1054;49490;706;729;assegno
1055;7050;801;941;bonifico
1056;13315;725;135;bonifico
1057;20615;898;924;bonifico
1058;319;722;122;contante
1059;12160;197;888;assegno
1060;15225;774;149;bonifico
1061;5730;410;131;assegno
1062;529;955;;carta di credito
1063;12905;49;574;assegno
1064;5930;201;979;bonifico
1065;595;33;;carta di credito
1066;395;825;;carta di credito
1067;605;956;;carta di credito
1068;662;549;803;contante
1069;19450;262;528;assegno
1070;15670;317;686;assegno
1071;7120;928;225;bonifico
1072;4720;583;836;bonifico
1073;4265;118;76;bonifico
1074;13355;949;151;bonifico
1075;19530;81;194;assegno
1076;23475;484;712;bonifico
1077;980;370;;carta di credito
1078;36170;611;803;assegno
1079;215;371;;carta di credito
1080;20025;936;827;bonifico
1081;16950;27;921;assegno
1082;6490;794;528;bonifico
1083;13600;423;642;bonifico
1084;9910;497;620;bonifico
1085;15325;341;822;bonifico
1086;25463;896;378;assegno
1087;26520;156;856;assegno
1088;19725;786;14;bonifico
1089;5945;45;771;bonifico
1090;1524;798;;carta di credito
1091;17545;626;776;bonifico
1092;6553;313;160;bonifico
1093;28760;95;454;assegno
1094;6090;687;43;bonifico
1095;9194;914;118;assegno
1096;1025;872;;carta di credito
1097;2035;957;;carta di credito
1098;10785;652;803;assegno
1099;3360;103;885;assegno
1100;18710;790;829;bonifico
1101;6015;443;662;bonifico
1102;795;283;;carta di credito
1103;12475;144;277;assegno
1104;20230;361;259;assegno
1105;22970;960;898;assegno
1106;465;234;887;contante
1107;290;816;;carta di credito
1108;4070;178;565;bonifico
1109;8937;995;655;assegno
1110;570;229;;carta di credito
1111;240;522;35;contante
1112;15740;283;223;bonifico
1113;14833;826;859;bonifico
1114;15535;243;908;bonifico
1115;3285;744;527;bonifico
1116;31125;138;314;assegno
1117;12191;824;855;bonifico
1118;14752;747;900;assegno
1119;2585;21;885;assegno
1120;610;670;;carta di credito
1121;10800;112;181;assegno
1122;4175;464;531;bonifico
1123;26265;852;840;bonifico
1124;5760;489;122;bonifico
1125;699;50;135;contante
1126;41625;813;778;assegno
1127;649;964;;carta di credito
1128;16900;987;563;bonifico
1129;455;303;;carta di credito
1130;52040;408;550;bonifico
1131;18670;334;884;bonifico
1132;9088;242;75;assegno
1133;1050;342;;carta di credito
1134;6355;665;826;bonifico
1135;18200;547;386;assegno
1136;14525;478;101;bonifico
1137;704;796;;carta di credito
1138;28225;672;291;assegno
1139;270;568;254;contante
1140;689;621;;carta di credito
1141;24450;247;3;bonifico
1142;18050;128;95;assegno
1143;8802;53;824;assegno
1144;7280;474;9;bonifico
1145;8910;394;85;bonifico
1146;882;791;;carta di credito
1147;720;753;;carta di credito
1148;16785;591;943;assegno
1149;4773;347;895;assegno
1150;15875;742;587;bonifico
1151;3455;545;285;bonifico
1152;58105;211;663;bonifico
1153;32090;67;953;bonifico
1154;29520;609;222;bonifico
1155;5355;444;606;assegno
1156;370;908;168;contante
1157;13855;393;243;assegno
1158;12245;580;840;bonifico
1159;4750;471;531;bonifico
1160;270;472;615;contante
1161;14125;812;496;assegno
1162;27200;477;15;assegno
1163;3025;237;871;assegno
1164;28000;499;476;bonifico
1165;4945;531;712;assegno
1166;19990;21;194;bonifico
1167;230;461;;carta di credito
1168;17230;226;2;bonifico
1169;270;232;;carta di credito
1170;2115;228;213;bonifico
1171;360;430;;carta di credito
1172;27310;889;663;bonifico
1173;26880;820;310;assegno
1174;33150;946;927;assegno
1175;20160;281;270;assegno
1176;6892;679;184;bonifico
1177;420;760;;carta di credito
1178;8870;991;775;assegno
1179;30570;891;541;bonifico
1180;41565;814;511;bonifico
1181;733;298;;carta di credito
1182;865;364;;carta di credito
1183;5320;964;20;bonifico
1184;11215;481;325;assegno
1185;33536;972;947;bonifico
1186;5560;630;670;bonifico
1187;7465;99;20;bonifico
1188;10210;673;27;assegno
1189;5829;643;569;bonifico
1190;280;513;;carta di credito
1191;8885;410;267;assegno
1192;17680;558;738;bonifico
1193;610;104;213;contante
1194;27950;564;381;assegno
1195;270;764;;carta di credito
1196;23666;912;314;bonifico
1197;380;900;209;contante
1198;27917;192;449;assegno
1199;735;23;;carta di credito
1200;35620;679;582;bonifico
1201;18160;471;266;bonifico
1202;2264;275;278;bonifico
1203;17495;683;140;bonifico
1204;6255;150;588;bonifico
1205;370;179;;carta di credito
1206;10233;530;403;bonifico
1207;4290;119;827;assegno
1208;88627;125;11;bonifico
1209;25207;900;626;assegno
1210;4865;963;725;bonifico
1211;2579;390;487;bonifico
1212;450;256;807;contante
1213;19585;387;65;assegno
1214;571;240;213;contante
1215;665;294;;carta di credito
1216;9695;432;667;bonifico
1217;16005;548;830;bonifico
1218;35108;889;706;bonifico
1219;14770;730;45;bonifico
1220;242;745;913;contante
1221;75840;621;91;bonifico
1222;940;571;;carta di credito
1223;38881;216;665;bonifico
1224;19905;753;713;bonifico
1225;740;937;;carta di credito
1226;6855;739;48;assegno
1227;36425;75;371;bonifico
1228;522;555;;carta di credito
1229;16720;227;629;bonifico
1230;22266;314;878;bonifico
1231;275;728;;carta di credito
1232;7340;700;463;assegno
1233;16345;109;664;assegno
1234;40205;281;503;assegno
1235;23665;977;645;bonifico
1236;47620;988;783;bonifico
1237;24097;585;775;bonifico
1238;20415;803;68;bonifico
1239;330;27;878;contante
1240;616;210;123;contante
1241;955;568;;carta di credito
1242;650;64;;carta di credito
1243;270;970;;carta di credito
1244;190;231;63;contante
1245;6595;395;844;bonifico
1246;3840;909;375;bonifico
1247;20945;697;284;assegno
1248;11555;983;725;bonifico
1249;7155;7;22;bonifico
1250;29190;435;844;assegno
1251;12220;696;104;assegno
1252;24780;801;896;bonifico
1253;10365;346;870;bonifico
1254;1805;177;;carta di credito
1255;300;142;;carta di credito
1256;29175;559;432;bonifico
1257;13094;877;128;assegno
1258;1130;133;;carta di credito
1259;257;301;339;contante
1260;415;891;;carta di credito
1261;17509;594;187;bonifico
1262;160;998;120;contante
1263;11530;237;78;bonifico
1264;1700;495;;carta di credito
1265;22445;537;512;bonifico
1266;7386;833;553;bonifico
1267;325;79;;carta di credito
1268;2300;592;690;bonifico
1269;17620;252;710;assegno
1270;19465;119;209;bonifico
1271;6640;398;162;assegno
1272;5026;822;80;assegno
1273;8690;184;638;bonifico
1274;1354;821;;carta di credito
1275;180;374;615;contante
1276;9965;736;980;bonifico
1277;17615;688;310;assegno
1278;305;568;724;contante
1279;1055;359;;carta di credito
1280;3290;346;363;bonifico
1281;3120;617;924;bonifico
1282;17495;688;215;assegno
1283;28750;990;884;assegno
1284;13421;28;986;bonifico
1285;5325;93;192;bonifico
1286;17590;99;15;assegno
1287;15710;593;387;bonifico
1288;37362;24;895;bonifico
1289;36350;957;891;bonifico
1290;550;521;;carta di credito
1291;145;837;242;contante
1292;29815;422;458;bonifico
1293;345;306;;carta di credito
1294;469;744;;carta di credito
1295;24970;918;969;assegno
1296;12340;512;148;bonifico
1297;25305;306;473;bonifico
1298;9332;586;360;assegno
1299;30150;772;225;bonifico
1300;12865;626;925;bonifico
1301;480;399;;carta di credito
1302;360;471;;carta di credito
1303;29555;877;420;assegno
1304;21071;588;839;bonifico
1305;215;334;;carta di credito
1306;45145;161;610;assegno
1307;583;776;;carta di credito
1308;5735;519;508;bonifico
1309;7065;318;506;assegno
1310;305;818;453;contante
1311;17532;672;526;bonifico
1312;14195;689;328;bonifico
1313;4405;109;33;assegno
1314;20870;774;463;bonifico
1315;185;481;14;contante
1316;5795;670;7;bonifico
1317;430;338;686;contante
1318;290;34;;carta di credito
1319;5770;483;815;bonifico
1320;9303;170;304;assegno
1321;19465;776;37;bonifico
1322;12769;167;606;assegno
1323;250;968;796;contante
1324;37174;809;933;assegno
1325;1205;466;;carta di credito
1326;848;645;;carta di credito
1327;16945;988;187;assegno
1328;650;778;;carta di credito
1329;170;882;449;contante
1330;3437;964;991;bonifico
1331;14000;334;268;bonifico
1332;18845;247;631;bonifico
1333;350;301;;carta di credito
1334;24325;369;428;bonifico
1335;2815;753;360;bonifico
1336;52360;116;322;bonifico
1337;21175;469;385;bonifico
1338;12395;790;982;assegno
1339;255;424;366;contante
1340;46525;261;101;assegno
1341;20105;424;513;bonifico
1342;240;727;;carta di credito
1343;9765;132;408;bonifico
1344;26880;597;861;assegno
1345;18505;200;409;assegno
1346;6585;355;804;bonifico
1347;4595;791;1000;bonifico
1348;17175;283;561;assegno
1349;440;985;722;contante
1350;125;406;538;contante
1351;25675;548;703;assegno
1352;185;950;962;contante
1353;6710;571;508;assegno
1354;355;576;288;contante
1355;46965;97;332;assegno
1356;31525;681;387;assegno
1357;245;9;;carta di credito
1358;1574;827;787;bonifico
1359;775;903;;carta di credito
1360;21750;827;519;bonifico
1361;19784;755;866;bonifico
1362;4650;761;679;bonifico
1363;7890;410;30;bonifico
1364;11035;412;735;bonifico
1365;180;918;;carta di credito
1366;425;699;145;contante
1367;610;817;;carta di credito
1368;28220;252;702;bonifico
1369;10790;242;747;bonifico
1370;148;308;805;contante
1371;950;21;;carta di credito
1372;15095;864;783;assegno
1373;56499;422;261;assegno
1374;5610;992;670;assegno
1375;12940;81;691;assegno
1376;26655;912;416;bonifico
1377;15665;232;4;assegno
1378;650;11;;carta di credito
1379;475;786;;carta di credito
1380;4700;217;579;bonifico
1381;1165;74;;carta di credito
1382;28375;906;583;assegno
1383;260;427;836;contante
1384;810;417;;carta di credito
1385;27675;867;632;assegno
1386;15665;944;601;bonifico
1387;325;246;580;contante
1388;13945;711;673;bonifico
1389;24115;165;5;bonifico
1390;469;313;248;contante
1391;41735;912;869;assegno
1392;16110;553;266;assegno
1393;273;804;368;contante
1394;15820;480;223;bonifico
1395;33885;537;693;assegno
1396;21290;262;541;bonifico
1397;38434;430;815;bonifico
1398;545;460;737;contante
1399;18065;282;489;assegno
1400;37900;623;601;bonifico
1401;975;313;;carta di credito
1402;41465;647;732;bonifico
1403;21225;5;187;bonifico
1404;40525;407;157;bonifico
1405;4200;209;406;bonifico
1406;165;272;778;contante
1407;3050;241;948;assegno
1408;13635;290;220;assegno
1409;17695;27;88;assegno
1410;290;718;154;contante
1411;20865;288;30;bonifico
1412;5120;437;525;bonifico
1413;525;879;;carta di credito
1414;19265;363;851;bonifico
1415;6580;464;228;assegno
1416;15750;745;798;assegno
1417;23180;156;304;bonifico
1418;360;908;220;contante
1419;11344;741;361;bonifico
1420;35552;980;810;bonifico
1421;29480;818;845;bonifico
1422;435;477;598;contante
1423;965;262;;carta di credito
1424;295;636;504;contante
1425;18505;579;183;bonifico
1426;37520;86;283;assegno
1427;615;31;603;contante
1428;287;25;169;contante
1429;17545;928;437;assegno
1430;17160;227;776;assegno
1431;19525;197;401;assegno
1432;222;41;636;contante
1433;672;455;;carta di credito
1434;470;983;;carta di credito
1435;255;896;57;contante
1436;24430;250;815;bonifico
1437;365;711;;carta di credito
1438;295;566;699;contante
1439;6903;240;397;bonifico
1440;625;99;;carta di credito
1441;12250;434;421;assegno
1442;18945;622;793;assegno
1443;230;663;18;contante
1444;910;991;;carta di credito
1445;17420;334;582;assegno
1446;10441;665;102;bonifico
1447;430;506;;carta di credito
1448;24160;716;473;assegno
1449;5945;303;940;bonifico
1450;380;670;;carta di credito
1451;28455;164;421;bonifico
1452;10955;791;729;assegno
1453;25155;977;610;bonifico
1454;24530;806;840;bonifico
1455;17625;858;308;bonifico
1456;755;770;815;contante
1457;14865;693;254;bonifico
1458;230;211;;carta di credito
1459;16245;867;433;assegno
1460;30720;699;311;assegno
1461;1000;754;;carta di credito
1462;29650;991;574;bonifico
1463;9763;249;885;assegno
1464;616;162;;carta di credito
1465;28475;739;568;bonifico
1466;1290;46;;carta di credito
1467;1370;548;;carta di credito
1468;30050;128;68;assegno
1469;70460;152;453;assegno
1470;420;394;;carta di credito
1471;42510;441;577;assegno
1472;15074;626;379;assegno
1473;795;680;;carta di credito
1474;20200;441;691;assegno
1475;10235;506;348;assegno
1476;300;438;953;contante
1477;285;16;;carta di credito
1478;410;608;889;contante
1479;23065;91;291;bonifico
1480;13575;674;907;assegno
1481;365;334;;carta di credito
1482;24740;811;19;assegno
1483;325;568;;carta di credito
1484;150;791;787;contante
1485;26117;906;664;bonifico
1486;16515;344;640;assegno
1487;165;829;90;contante
1488;18640;850;873;bonifico
1489;35525;637;915;bonifico
1490;382;417;;carta di credito
1491;2170;747;254;bonifico
1492;19560;823;802;bonifico
1493;14114;512;679;assegno
1494;1080;690;;carta di credito
1495;570;352;320;contante
1496;282;566;;carta di credito
1497;4005;672;861;bonifico
1498;225;263;;carta di credito
1499;324;207;;carta di credito
1500;20715;872;308;assegno
1501;47495;14;128;bonifico
1502;9600;301;456;bonifico
1503;9425;476;699;assegno
1504;17400;289;778;bonifico
1505;18015;217;719;bonifico
1506;18607;749;299;assegno
1507;985;966;46;bonifico
1508;12050;171;332;assegno
1509;6390;125;246;assegno
1510;21957;829;786;assegno
1511;39965;134;15;bonifico
1512;379;623;;carta di credito
1513;340;666;403;contante
1514;11730;367;443;assegno
1515;20910;125;669;bonifico
1516;19140;455;697;assegno
1517;15180;311;943;bonifico
1518;54790;760;130;bonifico
1519;9490;289;956;bonifico
1520;24035;713;993;bonifico
1521;955;344;;carta di credito
1522;11190;317;78;assegno
1523;400;858;338;contante
1524;33630;394;497;assegno
1525;7285;302;633;assegno
1526;29150;1000;32;bonifico
1527;11816;602;644;bonifico
1528;720;577;376;contante
1529;710;797;;carta di credito
1530;25890;583;338;bonifico
1531;7850;476;132;assegno
1532;13496;128;252;assegno
1533;27650;143;22;assegno
1534;24405;38;24;bonifico
1535;885;527;;carta di credito
1536;1494;963;;carta di credito
1537;13345;773;7;bonifico
1538;25460;690;837;bonifico
1539;11232;686;928;bonifico
1540;535;331;;carta di credito
1541;22495;692;872;bonifico
1542;885;858;;carta di credito
1543;9350;321;937;bonifico
1544;25465;747;191;bonifico
1545;92418;417;784;bonifico
1546;3175;591;375;bonifico
1547;14390;15;124;assegno
1548;7805;757;838;assegno
1549;1085;907;;carta di credito
1550;15335;29;92;assegno
1551;4511;372;465;bonifico
1552;42160;716;710;bonifico
1553;16925;50;843;assegno
1554;3320;936;675;assegno
1555;37915;236;824;assegno
1556;1095;988;;carta di credito
1557;1980;599;;carta di credito
1558;27495;631;645;bonifico
1559;615;254;;carta di credito
1560;5715;32;725;assegno
1561;18330;356;194;assegno
1562;11770;475;101;bonifico
1563;15635;262;626;bonifico
1564;535;416;;carta di credito
1565;24095;736;98;bonifico
1566;26020;321;574;assegno
1567;605;276;;carta di credito
1568;31295;124;275;assegno
1569;41610;717;842;bonifico
1570;20235;527;50;bonifico
1571;8660;907;169;bonifico
1572;3720;167;289;bonifico
1573;950;662;;carta di credito
1574;910;138;;carta di credito
1575;12923;24;938;assegno
1576;3775;591;818;assegno
1577;44425;455;885;bonifico
1578;38355;543;575;assegno
1579;32430;683;338;assegno
1580;620;854;;carta di credito
1581;27420;165;940;assegno
1582;12100;410;305;assegno
1583;685;451;;carta di credito
1584;905;807;;carta di credito
1585;6210;683;640;bonifico
1586;34530;426;13;bonifico
1587;31765;152;500;assegno
1588;27420;275;128;bonifico
1589;150;277;;carta di credito
1590;690;753;;carta di credito
1591;8442;904;732;bonifico
1592;15930;38;188;assegno
1593;15610;755;961;bonifico
1594;27999;99;127;bonifico
1595;8010;726;738;bonifico
1596;19149;227;475;assegno
1597;22715;733;696;bonifico
1598;6565;230;559;bonifico
1599;11660;691;365;bonifico
1600;45575;244;642;bonifico
1601;135;617;653;contante
1602;20250;294;441;bonifico
1603;17115;5;846;bonifico
1604;15370;325;709;assegno
1605;2490;255;8;assegno
1606;20550;657;620;bonifico
1607;195;533;199;contante
1608;8025;217;239;bonifico
1609;17760;478;128;bonifico
1610;10620;222;15;bonifico
1611;265;749;;carta di credito
1612;8845;489;772;assegno
1613;1315;953;;carta di credito
1614;195;749;794;contante
1615;18760;387;437;bonifico
1616;29745;690;479;bonifico
1617;23155;935;95;assegno
1618;15585;259;253;bonifico
1619;42315;830;252;bonifico
1620;9760;641;437;bonifico
1621;27285;767;484;bonifico
1622;17845;18;253;assegno
1623;11535;507;708;bonifico
1624;7765;530;73;assegno
1625;3755;112;597;bonifico
1626;20995;822;931;bonifico
1627;30120;670;458;bonifico
1628;2255;829;615;bonifico
1629;27425;427;891;bonifico
1630;592;521;;carta di credito
1631;210;647;248;contante
1632;4405;868;859;assegno
1633;28200;486;409;assegno
1634;4525;891;12;bonifico
1635;195;503;31;contante
1636;319;534;;carta di credito
1637;11450;184;579;bonifico
1638;1010;430;896;assegno
1639;5005;656;308;assegno
1640;22560;794;512;assegno
1641;20130;633;108;bonifico
1642;14525;837;219;bonifico
1643;440;407;;carta di credito
1644;240;697;;carta di credito
1645;230;250;736;contante
1646;9665;920;213;bonifico
1647;24040;769;406;assegno
1648;14260;449;861;assegno
1649;24741;421;651;bonifico
1650;430;903;884;contante
1651;28130;338;986;bonifico
1652;568;898;909;contante
1653;995;213;;carta di credito
1654;28409;695;187;bonifico
1655;6665;235;4;bonifico
1656;760;908;;carta di credito
1657;83437;598;933;assegno
1658;28320;575;735;bonifico
1659;29315;320;197;assegno
1660;24215;348;817;bonifico
1661;545;330;;carta di credito
1662;25405;523;407;bonifico
1663;18490;111;891;bonifico
1664;12250;432;116;bonifico
1665;895;561;;carta di credito
1666;4855;682;883;bonifico
1667;4190;113;78;assegno
1668;205;437;;carta di credito
1669;15290;573;808;bonifico
1670;10064;202;961;bonifico
1671;58964;957;339;assegno
1672;225;247;943;contante
1673;24700;429;813;assegno
1674;51495;52;646;bonifico
1675;19945;381;708;bonifico
1676;365;252;;carta di credito
1677;28010;969;188;bonifico
1678;705;676;;carta di credito
1679;18080;777;454;assegno
1680;515;366;145;assegno
1681;12640;67;822;bonifico
1682;26055;898;446;bonifico
1683;376;306;;carta di credito
1684;315;800;;carta di credito
1685;10350;485;241;bonifico
1686;935;396;;carta di credito
1687;25650;6;743;assegno
1688;28270;661;716;assegno
1689;3420;766;722;bonifico
1690;6885;545;713;assegno
1691;965;390;;carta di credito
1692;13501;143;430;bonifico
1693;1205;513;;carta di credito
1694;13177;173;127;bonifico
1695;40275;289;104;assegno
1696;19015;997;500;bonifico
1697;13970;988;309;bonifico
1698;490;719;;carta di credito
1699;14100;611;903;assegno
1700;235;677;961;contante
1701;17220;708;525;assegno
1702;775;858;;carta di credito
1703;9812;782;999;bonifico
1704;13440;708;806;assegno
1705;13985;856;113;assegno
1706;325;587;;carta di credito
1707;37395;601;39;bonifico
1708;460;413;;carta di credito
1709;7920;453;860;bonifico
1710;120;46;956;contante
1711;7690;346;425;bonifico
1712;41741;578;267;bonifico
1713;7500;672;712;assegno
1714;41240;274;369;bonifico
1715;151;416;93;contante
1716;19160;450;55;assegno
1717;6696;429;637;bonifico
1718;8272;533;98;assegno
1719;383;116;757;contante
1720;11162;244;920;bonifico
1721;39265;444;665;assegno
1722;14410;369;764;bonifico
1723;359;917;867;contante
1724;3885;569;418;bonifico
1725;17520;282;887;bonifico
1726;8345;957;271;bonifico
1727;310;783;472;contante
1728;20962;812;94;bonifico
1729;280;601;;carta di credito
1730;20440;646;542;assegno
1731;150;172;;carta di credito
1732;265;871;619;contante
1733;6825;484;950;bonifico
1734;11095;766;508;bonifico
1735;585;585;290;contante
1736;10185;217;43;assegno
1737;12195;681;675;assegno
1738;10015;824;536;assegno
1739;13517;888;264;bonifico
1740;545;237;;carta di credito
1741;480;982;;carta di credito
1742;395;342;256;contante
1743;15450;921;593;assegno
1744;24820;35;917;bonifico
1745;20780;110;554;assegno
1746;11020;537;941;assegno
1747;8285;623;120;bonifico
1748;310;926;;carta di credito
1749;22709;796;39;bonifico
1750;315;281;;carta di credito
1751;17580;782;60;bonifico
1752;315;292;;carta di credito
1753;20570;647;602;assegno
1754;14515;432;400;bonifico
1755;10440;408;900;assegno
1756;835;703;;carta di credito
1757;43245;342;527;bonifico
1758;21090;918;802;bonifico
1759;3940;707;993;bonifico
1760;9205;309;603;bonifico
1761;1870;617;;carta di credito
1762;879;172;;carta di credito
1763;51925;318;502;bonifico
1764;455;147;;carta di credito
1765;6220;377;827;assegno
1766;16345;593;976;bonifico
1767;35850;778;304;bonifico
1768;19510;974;544;bonifico
1769;15266;443;394;bonifico
1770;20240;697;452;bonifico
1771;20125;95;823;assegno
1772;12150;206;210;bonifico
1773;13025;648;311;bonifico
1774;14135;330;177;bonifico
1775;27290;267;963;bonifico
1776;620;551;;carta di credito
1777;8419;316;644;assegno
1778;43285;220;216;assegno
1779;11455;549;837;bonifico
1780;17245;8;709;assegno
1781;695;272;;carta di credito
1782;325;300;;carta di credito
1783;1450;419;;carta di credito
1784;28115;867;776;bonifico
1785;300;818;;carta di credito
1786;14511;904;911;assegno
1787;300;562;670;contante
1788;12280;564;580;assegno
1789;9137;227;272;bonifico
1790;585;665;;carta di credito
1791;36995;248;919;bonifico
1792;6205;679;497;bonifico
1793;7405;289;193;bonifico
1794;22650;906;722;bonifico
1795;23495;735;927;bonifico
1796;28000;82;120;bonifico
1797;9375;420;448;bonifico
1798;385;709;;carta di credito
1799;158;642;254;contante
1800;585;962;216;contante
1801;19435;281;475;bonifico
1802;13545;232;654;assegno
1803;20565;806;675;bonifico
1804;66433;139;993;assegno
1805;13130;641;776;assegno
1806;6579;888;242;bonifico
1807;4320;643;931;bonifico
1808;1365;462;574;bonifico
1809;34471;553;320;assegno
1810;8485;321;334;assegno
1811;4100;283;187;assegno
1812;41238;128;276;assegno
1813;40575;701;421;assegno
1814;24026;766;591;bonifico
1815;32850;912;460;assegno
1816;45105;646;349;bonifico
1817;1330;263;;carta di credito
1818;320;409;;carta di credito
1819;37901;1000;228;bonifico
1820;260;904;697;contante
1821;3785;181;424;assegno
1822;368;84;593;contante
1823;553;410;;carta di credito
1824;150;373;;carta di credito
1825;830;298;;carta di credito
1826;355;395;717;contante
1827;37580;46;137;bonifico
1828;23118;294;900;bonifico
1829;11230;158;398;assegno
1830;150;424;114;contante
1831;24525;158;333;bonifico
1832;250;623;662;contante
1833;205;952;232;contante
1834;240;342;;carta di credito
1835;195;1;;carta di credito
1836;16095;944;331;assegno
1837;390;283;;carta di credito
1838;225;646;655;contante
1839;200;124;608;contante
1840;2400;718;288;bonifico
1841;33810;136;528;assegno
1842;10040;29;733;bonifico
1843;26645;571;846;assegno
1844;49695;919;755;bonifico
1845;30294;763;256;bonifico
1846;385;561;333;contante
1847;4940;247;470;bonifico
1848;1485;820;183;assegno
1849;2385;168;;carta di credito
1850;27095;139;660;bonifico
1851;26695;679;851;assegno
1852;370;966;788;contante
1853;39835;692;351;assegno
1854;430;16;;carta di credito
1855;2785;510;19;bonifico
1856;13165;813;303;assegno
1857;44497;909;655;bonifico
1858;180;182;51;contante
1859;14770;672;463;bonifico
1860;17305;222;4;assegno
1861;53031;158;969;bonifico
1862;370;580;296;contante
1863;515;665;;carta di credito
1864;3665;33;575;bonifico
1865;24622;664;812;assegno
1866;20785;679;521;assegno
1867;500;203;;carta di credito
1868;18195;330;934;bonifico
1869;365;457;351;contante
1870;345;185;375;contante
1871;31300;974;839;bonifico
1872;28510;242;612;bonifico
1873;16449;805;83;bonifico
1874;925;989;;carta di credito
1875;330;642;;carta di credito
1876;19900;830;346;assegno
1877;45360;226;71;bonifico
1878;403;485;;carta di credito
1879;4525;711;556;bonifico
1880;9245;738;294;assegno
1881;22315;70;392;bonifico
1882;66510;81;132;assegno
1883;5165;711;731;bonifico
1884;225;301;758;contante
1885;36595;437;57;bonifico
1886;24040;921;112;bonifico
1887;10315;624;481;assegno
1888;18585;102;806;assegno
1889;270;791;;carta di credito
1890;9275;798;192;bonifico
1891;18180;20;379;bonifico
1892;43015;898;763;assegno
1893;6495;532;55;bonifico
1894;499;146;;carta di credito
1895;3225;410;403;assegno
1896;8680;1;78;bonifico
1897;31016;127;384;assegno
1898;41832;754;489;assegno
1899;20795;669;675;bonifico
1900;140;216;541;contante
1901;18700;958;376;bonifico
1902;1360;181;;carta di credito
1903;15065;822;603;assegno
1904;500;478;839;contante
1905;250;190;;carta di credito
1906;7120;318;845;bonifico
1907;10010;95;842;bonifico
1908;3285;903;214;assegno
1909;30515;966;792;assegno
1910;501;610;;carta di credito
1911;13455;781;363;bonifico
1912;17420;287;381;bonifico
1913;8495;557;516;bonifico
1914;4569;300;600;assegno
1915;19240;377;827;assegno
1916;1420;84;;carta di credito
1917;8465;884;734;bonifico
1918;740;959;;carta di credito
1919;14200;841;624;bonifico
1920;2510;373;35;assegno
1921;11425;209;101;assegno
1922;464;813;590;contante
1923;18797;811;957;bonifico
1924;5792;673;225;bonifico
1925;15810;877;757;assegno
1926;11433;318;811;bonifico
1927;660;39;;carta di credito
1928;280;91;;carta di credito
1929;115;133;811;contante
1930;1790;765;202;bonifico
1931;2935;313;12;bonifico
1932;990;303;;carta di credito
1933;9896;238;725;bonifico
1934;4115;661;295;assegno
1935;30720;407;202;bonifico
1936;17225;393;28;assegno
1937;40910;592;642;assegno
1938;6770;595;901;assegno
1939;8585;856;244;bonifico
1940;1245;354;260;assegno
1941;19810;719;859;bonifico
1942;18740;846;786;assegno
1943;23526;682;663;bonifico
1944;15350;895;253;bonifico
1945;11125;313;53;bonifico
1946;28100;559;813;assegno
1947;19446;601;524;bonifico
1948;31010;595;674;assegno
1949;370;373;;carta di credito
1950;47060;620;794;assegno
1951;330;880;;carta di credito
1952;41740;820;213;assegno
1953;21620;330;953;bonifico
1954;39910;549;808;assegno
1955;19860;300;595;assegno
1956;22815;455;904;assegno
1957;21575;119;171;assegno
1958;265;545;;carta di credito
1959;5360;801;127;assegno
1960;13320;611;388;bonifico
1961;14155;115;778;assegno
1962;466;626;7;contante
1963;20670;891;506;assegno
1964;5710;55;22;assegno
1965;25900;665;322;bonifico
1966;16195;241;419;bonifico
1967;1370;937;;carta di credito
1968;5165;651;252;bonifico
1969;20392;837;213;bonifico
1970;1680;947;;carta di credito
1971;223;345;285;contante
1972;158;872;;carta di credito
1973;430;469;198;contante
1974;19175;943;919;assegno
1975;10810;460;726;bonifico
1976;2750;14;342;assegno
1977;21620;602;943;assegno
1978;8045;985;238;assegno
1979;4037;472;594;bonifico
1980;8925;510;612;bonifico
1981;29860;947;763;assegno
1982;15230;888;405;bonifico
1983;34175;692;94;bonifico
1984;10560;186;59;assegno
1985;18560;283;585;assegno
1986;855;228;348;contante
1987;26105;9;480;bonifico
1988;56230;93;910;bonifico
1989;5540;5;454;assegno
1990;21315;154;814;assegno
1991;13052;816;724;bonifico
1992;725;815;;carta di credito
1993;30365;310;254;bonifico
1994;400;369;;carta di credito
1995;23980;448;654;bonifico
1996;1990;796;481;assegno
1997;31705;856;432;assegno
1998;45240;86;534;bonifico
1999;25185;939;974;bonifico
2000;42966;255;120;bonifico
2001;8725;956;358;assegno
2002;13910;450;615;bonifico
2003;3895;51;372;bonifico
2004;20805;700;600;bonifico
2005;22108;561;177;assegno
2006;485;551;;carta di credito
2007;14388;338;766;assegno
2008;18796;442;64;assegno
2009;63720;963;903;assegno
2010;4385;869;397;assegno
2011;33475;39;308;assegno
2012;27589;174;577;bonifico
2013;485;569;;carta di credito
2014;1415;384;;carta di credito
2015;340;481;487;contante
2016;5090;182;118;bonifico
2017;620;346;138;contante
2018;1176;177;;carta di credito
2019;23710;918;758;bonifico
2020;2190;896;568;bonifico
2021;260;888;;carta di credito
2022;15752;731;917;bonifico
2023;21695;402;676;bonifico
2024;33465;152;840;assegno
2025;8620;877;261;bonifico
2026;13145;106;833;bonifico
2027;580;798;2;contante
